Dgv_Oil_Time1
,6.37 ,6.73 ,6.45 ,6.45 ,6.19 ,6.4  ,6.94 ,6.71 ,6.46 ,6.71 ,6.34 ,6.46 ,7.17 ,5.82 ,6.59 ,7.04 ,6.98 ,7.1  ,7.55 ,7.36 ,7.29 ,6.98 ,7.17 ,6.85 ,6.72 ,6.34 ,5.31 ,5.06 ,4.93 ,4.29 
,4.54 ,4.79 ,4.6  ,4.88 ,4.52 ,4.71 ,4.94 ,4.78 ,4.61 ,4.78 ,5.95 ,6.27 ,6.98 ,4.97 ,6.85 ,6.85 ,6.98 ,7.1  ,7.3  ,7.51 ,6.66 ,6.78 ,6.98 ,6.66 ,6.53 ,6.53 ,5.31 ,5.06 ,4.93 ,4.29 
,4.54 ,4.56 ,4.35 ,4.64 ,4.32 ,4.94 ,4.94 ,4.78 ,4.61 ,4.5  ,6.17 ,5.89 ,6.59 ,5    ,6.85 ,6.85 ,6.98 ,7.1  ,7.3  ,7.31 ,6.66 ,6.4  ,6.59 ,6.27 ,6.14 ,6.14 ,5.31 ,5.06 ,4.93 ,4.29 
,5.3  ,4.34 ,4.37 ,4.64 ,4.79 ,4.71 ,4.71 ,4.78 ,4.61 ,4.78 ,5.95 ,5.57 ,6.53 ,5.25 ,6.4  ,6.4  ,6.53 ,7.1  ,7.3  ,6.91 ,6.27 ,6.02 ,6.59 ,6.27 ,6.02 ,6.02 ,5.31 ,5.06 ,4.93 ,4.29 
,5.3  ,5.89 ,4.85 ,4.88 ,4.75 ,4.71 ,4.71 ,4.78 ,4.61 ,5.32 ,6.2  ,5.89 ,6.53 ,5.44 ,6.66 ,6.66 ,6.72 ,6.72 ,6.85 ,6.53 ,5.89 ,5.7  ,6.21 ,5.89 ,5.63 ,5.31 ,5.06 ,4.8  ,4.48 ,4.29 
,5.57 ,5.23 ,5.3  ,5.3  ,4.85 ,5.85 ,4.44 ,4.5  ,5.21 ,4.5  ,7.19 ,5.89 ,6.02 ,4.89 ,6.08 ,6.08 ,6.14 ,5.76 ,5.89 ,5.63 ,5.25 ,4.86 ,5.38 ,5.06 ,4.86 ,4.54 ,4.61 ,4.35 ,4.16 ,3.97 
,4.95 ,4.53 ,4.59 ,4.57 ,4.78 ,5.99 ,6.74 ,6.29 ,5.06 ,6.45 ,6.79 ,4.93 ,5.12 ,4.22 ,5.05 ,5.03 ,4.99 ,4.99 ,5.44 ,5.12 ,4.8  ,4.8  ,4.99 ,4.8  ,4.61 ,4.42 ,4.22 ,4.03 ,3.78 ,3.39 
,4.2  ,4.81 ,4.81 ,4.63 ,4.73 ,4.7  ,5.6  ,5.46 ,5.67 ,5.49 ,6.1  ,4.08 ,4.02 ,3.66 ,4.33 ,4.54 ,4.61 ,4.86 ,4.67 ,4.48 ,4.29 ,3.97 ,4.1  ,3.9  ,3.78 ,3.52 ,3.33 ,3.2  ,3.01 ,2.69 
,4.53 ,5.16 ,5.22 ,5.16 ,5.86 ,4.76 ,5.23 ,5.21 ,5.11 ,5.68 ,5.86 ,3.3  ,3.39 ,2.74 ,3.2  ,3.2  ,2.83 ,3.33 ,3.2  ,3.07 ,3.07 ,3.01 ,2.88 ,2.75 ,2.62 ,2.43 ,2.37 ,2.24 ,2.11 ,1.98 
,4.63 ,4.86 ,4.99 ,4.81 ,5.05 ,4.1  ,4.28 ,4.1  ,3.9  ,4.4  ,4    ,2.74 ,2.82 ,1.94 ,3.2  ,3.2  ,2.7  ,2.94 ,2.56 ,2.43 ,2.3  ,2.18 ,2.11 ,1.98 ,1.86 ,1.79 ,1.66 ,1.47 ,1.41 ,1.28 
